,x
0,0
3,0
4,0
5,0
6,0
7,0
10,0
11,0
13,0
14,0
16,0
17,0
18,0
20,0
22,0
24,0
26,0
29,0
32,0
35,0
37,0
40,0
42,0
43,0
44,0
46,0
47,0
48,0
51,0
52,0
54,0
56,0
60,0
63,0
66,0
67,0
72,0
74,0
76,0
78,0
79,0
81,0
82,0
83,1
85,1
86,1
87,1
88,1
89,1
91,1
93,1
97,1
99,1
100,1
101,1
105,1
107,1
111,1
112,1
114,1
117,1
122,1
127,1
128,1
133,1
135,1
138,1
139,1
140,1
141,1
143,1
144,1
145,1
146,1
147,1
150,1
155,1
157,1
159,1
161,1
162,1
167,1
169,1
170,1
171,1
172,1
173,1
175,1
176,1
179,0
181,0
182,0
183,0
184,0
185,0
190,0
196,0
197,0
200,0
201,0
203,0
205,0
207,0
209,1
210,1
211,1
212,1
213,1
217,1
218,1
220,1
221,1
225,1
226,1
227,1
229,1
